ID,DIVISION,SUBJECT,WRITER,VIEWS
2247082,NS소프트,AMNESIA World for Nintendo Switch 인트로덕션무... (1),아즈꺄,1
2247088,기타,스퀘어 에닉스)파이널 판타지 7 무선 충전스탠드 영상 (21),틸로볼프,4
2246910,PS5소프트,NEW FOOTBALL GAME 온라인 테스트 데모 등록 (6),자세안나오네,3
,,,,
2247081,PS4소프트,풍우래기 4 플레이 영상 (기후역 ~ 나에기 성) (16),nokcha,9
2247086,PS5소프트,원신 신규 캐릭터 플레이-「카에데하라 카즈하: 풍류 무사」 (14),nokcha,8
2246907,기타,MS:30억게이머의 종착역은 메타버스와 클라우드 (49),.501 군단,41
2246906,XSX하드,"엑스박스 콘솔 개발 키트, AMD FSR 기능 포함 발표. (40)",블레이더영혼,36
2237470,PS5하드,,Ruliweb100,47
2246891,XSX소프트,IGN)Xbox: 더 스테이트 오브 에브리 퍼스트파티 디벨로퍼 영상,틸로볼프,6
2246894,XBO소프트,엑스박스 공식)던전 오브 나흘븍: 아뮬렛 오브 카오스 영상 (3),틸로볼프,3
2246909,NS소프트,몬스터 헌터 라이즈 새로운 이벤트 퀘스트 '진흙 노인과 대중문화' 배포 (9),nokcha,6
2246903,NS소프트,포켓몬 25주년 기념 하나지방 포켓몬 인기 투표 결과 공개 (19),nokcha,9
2246904,루머,"고스트 오브 쓰시마 확장판, 고스트 오브 이키시마 출시 루머 (23)",자세안나오네,19
2246889,PS5소프트,귀멸의 칼날 히노카미 혈풍담 패키지 아트 (11),둠 닥터,9
2246893,XSX소프트,유비소프트)레인보우 식스 익스트랙션 - 오퍼레이터 쇼케이스 슬랫지 영상,틸로볼프,5
2246899,XSX소프트,엑스박스 공식)보더랜드 3 - 더 리벤젠스 오브 리벤지 오브 카르텔 공식... (6),틸로볼프,6
2246885,XBO소프트,니드 포 스피드 핫 퍼슈트 리마스터 EA Play(게임패스)에 등록 (6),nokcha,27
2246908,NS소프트,슈퍼 스매시 브라더스 얼티밋 12.0 업데이트 곧 배포 & 카즈야 신규 ... (20),nokcha,14
